Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Jönköping-Axamos Flygplats;74460;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-04-01 00:00:00;2024-09-30 23:59:59;226.0;57.7514;14.0733

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1979-05-01 00:00:01;1979-06-01 00:00:00;1979-05;10.1;Y
1979-06-01 00:00:01;1979-07-01 00:00:00;1979-06;15.4;Y
1979-07-01 00:00:01;1979-08-01 00:00:00;1979-07;13.5;Y
1979-08-01 00:00:01;1979-09-01 00:00:00;1979-08;13.2;Y
1979-09-01 00:00:01;1979-10-01 00:00:00;1979-09;9.9;Y
1979-10-01 00:00:01;1979-11-01 00:00:00;1979-10;3.8;Y
1979-11-01 00:00:01;1979-12-01 00:00:00;1979-11;1.9;Y
1979-12-01 00:00:01;1980-01-01 00:00:00;1979-12;-2.2;Y
1980-01-01 00:00:01;1980-02-01 00:00:00;1980-01;-5.4;Y
1980-02-01 00:00:01;1980-03-01 00:00:00;1980-02;-7.5;Y
1980-03-01 00:00:01;1980-04-01 00:00:00;1980-03;-3.8;Y
1980-04-01 00:00:01;1980-05-01 00:00:00;1980-04;3.4;Y
1980-05-01 00:00:01;1980-06-01 00:00:00;1980-05;8.0;Y
1980-06-01 00:00:01;1980-07-01 00:00:00;1980-06;14.3;Y
1980-07-01 00:00:01;1980-08-01 00:00:00;1980-07;14.7;Y
1980-08-01 00:00:01;1980-09-01 00:00:00;1980-08;13.4;Y
1980-09-01 00:00:01;1980-10-01 00:00:00;1980-09;10.9;Y
1980-10-01 00:00:01;1980-11-01 00:00:00;1980-10;4.6;Y
1980-11-01 00:00:01;1980-12-01 00:00:00;1980-11;-0.3;Y
1980-12-01 00:00:01;1981-01-01 00:00:00;1980-12;-0.3;Y
1981-01-01 00:00:01;1981-02-01 00:00:00;1981-01;-4.1;Y
1981-02-01 00:00:01;1981-03-01 00:00:00;1981-02;-2.3;Y
1981-03-01 00:00:01;1981-04-01 00:00:00;1981-03;-1.2;Y
1981-04-01 00:00:01;1981-05-01 00:00:00;1981-04;3.7;Y
1981-05-01 00:00:01;1981-06-01 00:00:00;1981-05;11.0;Y
1981-06-01 00:00:01;1981-07-01 00:00:00;1981-06;12.3;Y
1981-07-01 00:00:01;1981-08-01 00:00:00;1981-07;14.4;Y
1981-08-01 00:00:01;1981-09-01 00:00:00;1981-08;13.7;Y
1981-09-01 00:00:01;1981-10-01 00:00:00;1981-09;10.9;Y
1981-10-01 00:00:01;1981-11-01 00:00:00;1981-10;4.8;Y
1981-11-01 00:00:01;1981-12-01 00:00:00;1981-11;0.6;Y
1981-12-01 00:00:01;1982-01-01 00:00:00;1981-12;-8.3;Y
1982-01-01 00:00:01;1982-02-01 00:00:00;1982-01;-7.7;Y
1982-02-01 00:00:01;1982-03-01 00:00:00;1982-02;-4.5;Y
1982-03-01 00:00:01;1982-04-01 00:00:00;1982-03;1.6;Y
1982-04-01 00:00:01;1982-05-01 00:00:00;1982-04;4.4;Y
1982-05-01 00:00:01;1982-06-01 00:00:00;1982-05;9.2;Y
1982-06-01 00:00:01;1982-07-01 00:00:00;1982-06;12.2;Y
1982-07-01 00:00:01;1982-08-01 00:00:00;1982-07;17.0;Y
1982-08-01 00:00:01;1982-09-01 00:00:00;1982-08;15.5;Y
1982-09-01 00:00:01;1982-10-01 00:00:00;1982-09;11.7;Y
1982-10-01 00:00:01;1982-11-01 00:00:00;1982-10;7.3;Y
1982-11-01 00:00:01;1982-12-01 00:00:00;1982-11;3.7;Y
1982-12-01 00:00:01;1983-01-01 00:00:00;1982-12;-0.4;Y
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;1.8;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-4.7;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;0.9;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;4.6;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;9.5;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;13.2;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;16.9;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;15.9;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;10.8;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;6.6;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;0.7;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;-1.2;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;-2.5;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-3.2;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;-2.4;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;4.9;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;10.4;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;12.6;Y
1984-07-01 00:00:01;1984-08-01 00:00:00;1984-07;15.1;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;15.3;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;9.2;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;8.5;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;3.5;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;0.4;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-8.1;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-10.6;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;-1.1;Y
